Card Name,Card Code,Copies Possessed (out of 3),Promo Obtain Source (if PR in code)
Lightning Velociraptor,BP07-P19EN,0,
Feral Aether,BP07-P20EN,0,
Alpha Drive,BP07-P21EN,0,
"Nicola, Forbidden Strength",BP07-P22EN,0,
"Nicola, Forbidden Strength",BP07-P23EN,0,
Forbidden Art,BP07-P24EN,0,
Sanguine Core,BP07-P25EN,0,
Augmentation Bestowal,BP07-P26EN,0,
Robofalcon,BP07-P27EN,0,
Robofalcon,BP07-P28EN,0,
"Meowskers, Ruff-Tuff Major",BP07-P29EN,0,
Saintly Core,BP07-P30EN,0,
Robogoblin,BP07-P31EN,0,
Robogoblin,BP07-P32EN,0,
Purgation's Blade,BP07-P33EN,0,
"Ladica, the Stoneclaw",BP07-SL01EN,0,
"Ladica, the Stoneclaw",BP07-SL02EN,0,
"Cynthia, the Queen's Blade",BP07-SL03EN,0,
"Bayleon, Sovereign Light",BP07-SL04EN,0,
"Bayleon, Sovereign Light",BP07-SL05EN,0,
"Mistolina, Forest Princess",BP07-SL06EN,0,
"Tetra, Sapphire Rebel",BP07-SL07EN,0,
"Tetra, Sapphire Rebel",BP07-SL08EN,0,
"Belphomet, Lord of Aiolon",BP07-SL09EN,0,
"Valdain, Cursed Shadow",BP07-SL10EN,0,
"Valdain, Cursed Shadow",BP07-SL11EN,0,
"Neptune, Tidemistress",BP07-SL12EN,0,
"Mono, Garnet Rebel",BP07-SL13EN,0,
"Mono, Garnet Rebel",BP07-SL14EN,0,
Kudlak,BP07-SL15EN,0,
"Limonia, Flawed Saint",BP07-SL16EN,0,
"Limonia, Flawed Saint",BP07-SL17EN,0,
"Lapis, Glorious Seraph",BP07-SL18EN,0,
Technolord,BP07-SL19EN,0,
Viridia Magna,BP07-SL20EN,0,
Viridia Magna,BP07-SL21EN,0,
Assembly Droid,BP07-T01EN,0,
Repair Mode,BP07-T02EN,0,
Naterran Great Tree,BP07-T03EN,0,
Fairy Wisp,BP07-T04EN,0,
Fairy,BP07-T05EN,0,
Magic Sediment,BP07-T06EN,0,
Ghost,BP07-T07EN,0,
"Ladica, the Stoneclaw",BP07-U01EN,0,
Tsubaki of the Demon Blade,BP07-U02EN,0,
"Riley, Hydroshaman",BP07-U03EN,0,
"Valdain, Cursed Shadow",BP07-U04EN,0,
"Mono, Garnet Rebel",BP07-U05EN,0,
"Lapis, Glorious Seraph",BP07-U06EN,0,
Technolord,BP07-U07EN,0,
Forest Oracle Pascale,BP08-001EN,0,
"Orchis, Puppet Girl",BP08-002EN,0,
"Zwei, Murderous Puppet",BP08-004EN,0,
"Zwei, Murderous Puppet",BP08-005EN,0,
"Lycoris, Poisoner Princess",BP08-006EN,0,
"Lina & Lena, Twin Souls",BP08-007EN,0,
"Michelle, the Mind Reader",BP08-008EN,0,
"Michelle, the Mind Reader",BP08-009EN,0,
"Liam, Master of Puppets",BP08-010EN,0,
Heartless Battle,BP08-011EN,0,
Junk,BP08-012EN,0,
Insane Dark Elf,BP08-013EN,0,
Insane Dark Elf,BP08-014EN,0,
Zealot of Unkilling,BP08-015EN,0,
Knower of History,BP08-016EN,0,
Ward of Unkilling,BP08-017EN,0,
Aether of the Warrior Wing,BP08-018EN,0,
"Dionne, Dancing Blade",BP08-019EN,0,
"Dionne, Dancing Blade",BP08-020EN,0,
Roland the Incorruptible,BP08-021EN,0,
Roland the Incorruptible,BP08-022EN,0,
Swordflash Panther,BP08-023EN,0,
Durandal the Incorruptible,BP08-024EN,0,
"Azord, Duke of the Mists",BP08-025EN,0,
"Azord, Duke of the Mists",BP08-026EN,0,
Madlance Centaur,BP08-027EN,0,
Dance of Usurpation,BP08-028EN,0,
Phantom Assassin,BP08-029EN,0,
Zealot of Usurpation,BP08-030EN,0,
Wardog,BP08-031EN,0,
Mana Pistol Merc,BP08-032EN,0,
Mana Pistol Merc,BP08-033EN,0,
Godsent Stride,BP08-034EN,0,
Sweet-Tooth Medusa,BP08-035EN,0,
Sweet-Tooth Medusa,BP08-036EN,0,
Prophetess of Creation,BP08-037EN,0,
Unbodied Witch,BP08-038EN,0,
Unbodied Witch,BP08-039EN,0,
Lovely-Heart Monika,BP08-040EN,0,
Edict of Truth,BP08-041EN,0,
"Elusa, Magic Wunderkind",BP08-042EN,0,
"Elusa, Magic Wunderkind",BP08-043EN,0,
"Morra, Monika's Familiar",BP08-044EN,0,
Veridic Discovery,BP08-045EN,0,
Moonshade Mage,BP08-046EN,0,
Zealot of Truth,BP08-047EN,0,
Rabbit Mage,BP08-048EN,0,
Rabbit Mage,BP08-049EN,0,
Zealot of Destruction,BP08-050EN,0,
Joy of Destruction,BP08-051EN,0,
Dragon Empress Otohime,BP08-052EN,0,
Azi Dahaka,BP08-053EN,0,
Azi Dahaka,BP08-054EN,0,
Annerose,BP08-055EN,0,
Annerose,BP08-056EN,0,
Ouroboros,BP08-057EN,0,
Powerforge,BP08-058EN,0,
"Elios, Loyal Dragoon",BP08-059EN,0,
"Elios, Loyal Dragoon",BP08-060EN,0,
Dragonsoul Princess,BP08-061EN,0,
Vile Violet Dragon,BP08-062EN,0,
Zealot of Disdain,BP08-063EN,0,
Righteous Dragoon,BP08-064EN,0,
Geovore,BP08-065EN,0,
Geovore,BP08-066EN,0,
Draco Marionette,BP08-067EN,0,
Sneer of Disdain,BP08-068EN,0,
Crimson Rose Queen,BP08-069EN,0,
Crimson Rose Queen,BP08-070EN,0,
Nephthys,BP08-071EN,0,
"Tartarus, the Tormentor",BP08-072EN,0,
"Tartarus, the Tormentor",BP08-073EN,0,
"Vuella, One-Winged Demon",BP08-074EN,0,
Sonata of Silence,BP08-075EN,0,
Chris Pumpkinhead,BP08-076EN,0,
Chris Pumpkinhead,BP08-077EN,0,
Salome,BP08-078EN,0,
Kiss of Lust,BP08-079EN,0,
Arion,BP08-080EN,0,
Marian the Mummy,BP08-081EN,0,
Marian the Mummy,BP08-082EN,0,
Zealot of Silence,BP08-083EN,0,
Zealot of Lust,BP08-084EN,0,
Manifest Malice,BP08-085EN,0,
Holylord Eachtar,BP08-086EN,0,
Godsworn Alexiel,BP08-087EN,0,
Godsworn Alexiel,BP08-088EN,0,
Eidolon of Madness,BP08-089EN,0,
Eidolon of Madness,BP08-090EN,0,
Sekhmet,BP08-091EN,0,
Vengeful Radiance,BP08-092EN,0,
"Colette, Holy Gunner",BP08-093EN,0,
"Colette, Holy Gunner",BP08-094EN,0,
Battlefield Inquisitor,BP08-095EN,0,
Manifestation of Repose,BP08-096EN,0,
Malevolent Al-mi'raj,BP08-097EN,0,
Zealot of Repose,BP08-098EN,0,
Temple Windbear,BP08-099EN,0,
Temple Windbear,BP08-100EN,0,
Angel of the Iron Steed,BP08-101EN,0,
Forgotten Sanctuary,BP08-102EN,0,
Alterplane Arbiter,BP08-103EN,0,
Alterplane Arbiter,BP08-104EN,0,
"Sylvia, the Condemner",BP08-105EN,0,
Sahaquiel,BP08-106EN,0,
Sahaquiel,BP08-107EN,0,
Tart Man,BP08-108EN,0,
Slash of the One,BP08-109EN,0,
"Reina, Evolution's Herald",BP08-110EN,0,
"Reina, Evolution's Herald",BP08-111EN,0,
"Ephemera, Sword Angel",BP08-112EN,0,
Treasure Map,BP08-113EN,0,
Steelclad Minotaur,BP08-114EN,0,
High Enchantress,BP08-115EN,0,
High Enchantress,BP08-116EN,0,
Happy Pig,BP08-117EN,0,
"Zwei, Murderous Puppet",BP08-P01EN,0,
"Zwei, Murderous Puppet",BP08-P02EN,0,
"Liam, Master of Puppets",BP08-P03EN,0,
Ward of Unkilling,BP08-P04EN,0,
Roland the Incorruptible,BP08-P05EN,0,
Roland the Incorruptible,BP08-P06EN,0,
Durandal the Incorruptible,BP08-P07EN,0,
Dance of Usurpation,BP08-P08EN,0,
Edict of Truth,BP08-P09EN,0,
"Elusa, Magic Wunderkind",BP08-P10EN,0,
"Elusa, Magic Wunderkind",BP08-P11EN,0,
Joy of Destruction,BP08-P12EN,0,
Annerose,BP08-P13EN,0,
Annerose,BP08-P14EN,0,
Vile Violet Dragon,BP08-P15EN,0,
Sneer of Disdain,BP08-P16EN,0,
"Tartarus, the Tormentor",BP08-P17EN,0,
"Tartarus, the Tormentor",BP08-P18EN,0,
Sonata of Silence,BP08-P19EN,0,
Kiss of Lust,BP08-P20EN,0,
Eidolon of Madness,BP08-P21EN,0,
Eidolon of Madness,BP08-P22EN,0,
Manifestation of Repose,BP08-P23EN,0,
Forgotten Sanctuary,BP08-P24EN,0,
Sahaquiel,BP08-P25EN,0,
Sahaquiel,BP08-P26EN,0,
Slash of the One,BP08-P27EN,0,
"Ephemera, Sword Angel",BP08-P28EN,0,
Forest Oracle Pascale,BP08-SL01EN,0,
"Orchis, Puppet Girl",BP08-SL02EN,0,
Aether of the Warrior Wing,BP08-SL04EN,0,
"Dionne, Dancing Blade",BP08-SL05EN,0,
"Dionne, Dancing Blade",BP08-SL06EN,0,
Sweet-Tooth Medusa,BP08-SL07EN,0,
Sweet-Tooth Medusa,BP08-SL08EN,0,
Prophetess of Creation,BP08-SL09EN,0,
Dragon Empress Otohime,BP08-SL10EN,0,
Azi Dahaka,BP08-SL11EN,0,
Azi Dahaka,BP08-SL12EN,0,
Crimson Rose Queen,BP08-SL13EN,0,
Crimson Rose Queen,BP08-SL14EN,0,
Nephthys,BP08-SL15EN,0,
Holylord Eachtar,BP08-SL16EN,0,
Godsworn Alexiel,BP08-SL17EN,0,
Godsworn Alexiel,BP08-SL18EN,0,
Alterplane Arbiter,BP08-SL19EN,0,
Alterplane Arbiter,BP08-SL20EN,0,
"Sylvia, the Condemner",BP08-SL21EN,0,
"Mysteria, Magic Founder",BP08-SP01EN,0,
"Mysteria, Magic Founder",BP08-SP02EN,0,
Lloyd,BP08-T01EN,0,
Victoria,BP08-T02EN,0,
Otohime's Vanguard,BP08-T03EN,0,
Thorn Burst,BP08-T04EN,0,
Fairy Wisp,BP08-T05EN,0,
Magic Sediment,BP08-T06EN,0,
Serpent,BP08-T07EN,0,
Holy Tiger,BP08-T08EN,0,
Puppet,BP08-T09EN,0,
Ancient Artifact,BP08-T10EN,0,
Mystic Artifact,BP08-T11EN,0,
"Orchis, Puppet Girl",BP08-U01EN,0,
"Dionne, Dancing Blade",BP08-U02EN,0,
Prophetess of Creation,BP08-U03EN,0,
Azi Dahaka,BP08-U04EN,0,
Nephthys,BP08-U05EN,0,
Godsworn Alexiel,BP08-U06EN,0,
Ms. Tart Man,BP08-U07EN,0,
Yggdrasil,BP09-001EN,0,
White Vanara,BP09-002EN,0,
White Vanara,BP09-003EN,0,
"Paula, Icy Warmth",BP09-004EN,0,
Greenglen Axeman,BP09-006EN,0,
Wrath of Nature,BP09-007EN,0,
Storied Falconer,BP09-008EN,0,
Storied Falconer,BP09-009EN,0,
Owl Man,BP09-010EN,0,
Blessings of Creation,BP09-011EN,0,
Grasshopper Conductor,BP09-012EN,0,
Grasshopper Conductor,BP09-013EN,0,
Elf General,BP09-014EN,0,
"Lila, Arborist",BP09-015EN,0,
Substitution,BP09-016EN,0,
Flower of Fairies,BP09-017EN,0,
"Celia, Sky Commander",BP09-018EN,0,
Spartacus,BP09-020EN,0,
"Prim, Innocent Princess",BP09-021EN,0,
"Prim, Innocent Princess",BP09-022EN,0,
"Nonja, Silent Maid",BP09-023EN,0,
Monochrome Duel,BP09-024EN,0,
"Dario, Demon Count",BP09-025EN,0,
"Dario, Demon Count",BP09-026EN,0,
Queen Hemera the White,BP09-027EN,0,
Queen Magnus the Black,BP09-028EN,0,
Axe Princess,BP09-029EN,0,
Axe Princess,BP09-030EN,0,
Master Samurai,BP09-031EN,0,
Savage Swordsman,BP09-032EN,0,
Tycoon,BP09-033EN,0,
Frontline Ramparts,BP09-034EN,0,
"Ceridwen, Eternity Hunter",BP09-035EN,0,
"Ceridwen, Eternity Hunter",BP09-036EN,0,
"Faust, Truthseeker",BP09-037EN,0,
"Anne, Mysterian Prodigy",BP09-038EN,0,
"Grea, Mysterian Dragoness",BP09-039EN,0,
"Grea, Mysterian Dragoness",BP09-040EN,0,
Mysterian Wyrmist,BP09-041EN,0,
Snowman King,BP09-043EN,0,
"Owen, Knight of Mysteria",BP09-044EN,0,
Absolute Zeroblade,BP09-045EN,0,
Anne's Sorcery,BP09-046EN,0,
Grea's Ember,BP09-047EN,0,
"Bergent, Onion Patchmaster",BP09-048EN,0,
"Bergent, Onion Patchmaster",BP09-049EN,0,
"Palla, Student Teacher",BP09-050EN,0,
"Vayle, Mysterian Summoner",BP09-051EN,0,
"Vayle, Mysterian Summoner",BP09-052EN,0,
Mysterian Knowledge,BP09-053EN,0,
Summoning Drills,BP09-054EN,0,
Witch of Foresight,BP09-055EN,0,
Witch of Foresight,BP09-056EN,0,
Beastfaced Mage,BP09-057EN,0,
Onion Patch,BP09-058EN,0,
"Tico, Mysterian Spellnerd",BP09-059EN,0,
"Mr. Bertrand, Magic Mentor",BP09-060EN,0,
Staff of Whirlwinds,BP09-061EN,0,
Jerva of Draconic Mail,BP09-062EN,0,
Jerva of Draconic Mail,BP09-063EN,0,
"Zirnitra, Dragon's Flame",BP09-064EN,0,
"Romelia, Lightning Striker",BP09-065EN,0,
"Romelia, Lightning Striker",BP09-066EN,0,
"Masamune, Raging Dragon",BP09-067EN,0,
Lindworm,BP09-068EN,0,
Dragonplate Warrior,BP09-070EN,0,
Poseidon,BP09-071EN,0,
Pure-Voiced Dragoon,BP09-072EN,0,
Force of the Dragonewt,BP09-073EN,0,
"Roy, Dragoncleaver",BP09-074EN,0,
"Roy, Dragoncleaver",BP09-075EN,0,
Galua of Two Breaths,BP09-076EN,0,
Katakura Kojuro,BP09-077EN,0,
Katakura Kojuro,BP09-078EN,0,
Dragoon Scyther,BP09-079EN,0,
Gargouille,BP09-080EN,0,
Waters of the Megalorca,BP09-081EN,0,
Heroic Dragonslayer,BP09-082EN,0,
Heroic Dragonslayer,BP09-083EN,0,
Dragonclad Blademaster,BP09-084EN,0,
Drakewing Assassin,BP09-085EN,0,
"Coda, Twilight Dragoon",BP09-086EN,0,
Hypersonic Dragonewt,BP09-087EN,0,
Dragon's Handspur,BP09-088EN,0,
"Vania, Nightshade Vampire",BP09-089EN,0,
"Arcus, Spirited Manager",BP09-091EN,0,
Oldblood King,BP09-092EN,0,
Oldblood King,BP09-093EN,0,
Darkfeast Bat,BP09-094EN,0,
Gift for Bloodkin,BP09-095EN,0,
Big Soul Hunter,BP09-096EN,0,
Big Soul Hunter,BP09-097EN,0,
"Raven, Eventide Vampire",BP09-098EN,0,
Blood Moon,BP09-099EN,0,
Orator of the Bones,BP09-100EN,0,
Orator of the Bones,BP09-101EN,0,
"Raven, Noontide Vampire",BP09-102EN,0,
"Raven, Midnight Vampire",BP09-103EN,0,
Death the Nyctophile,BP09-104EN,0,
Poltergeist,BP09-105EN,0,
"Jeanne, Beacon of Salvation",BP09-106EN,0,
"Jeanne, Beacon of Salvation",BP09-107EN,0,
Tutankhamun,BP09-108EN,0,
Ceryneian Hind,BP09-109EN,0,
Heavenly Knight,BP09-111EN,0,
Tenko's Shrine,BP09-112EN,0,
Jeweled Priestess,BP09-113EN,0,
Jeweled Priestess,BP09-114EN,0,
Whitefang Temple,BP09-115EN,0,
Opposing Statues,BP09-116EN,0,
Lycaon,BP09-117EN,0,
Lycaon,BP09-118EN,0,
Holy Fowl of Ivory,BP09-119EN,0,
Hexed Fowl of Ebon,BP09-120EN,0,
Deathscythe Nun,BP09-121EN,0,
Moriae Encomium,BP09-122EN,0,
Marduk,BP09-123EN,0,
Marduk,BP09-124EN,0,
Moon and Sun,BP09-125EN,0,
Paradise Vanguard,BP09-126EN,0,
Paradise Vanguard,BP09-127EN,0,
Amaterasu,BP09-128EN,0,
Tsukuyomi,BP09-129EN,0,
Suttungr,BP09-130EN,0,
Suttungr,BP09-131EN,0,
Oceanus,BP09-132EN,0,
Divine Retribution,BP09-133EN,0,
Valkyrie of Chaos,BP09-134EN,0,
Valkyrie of Chaos,BP09-135EN,0,
Valkyrie of Order,BP09-136EN,0,
Fount of Angels,BP09-137EN,0,
"Paula, Icy Warmth",BP09-P01EN,0,
Wrath of Nature,BP09-P03EN,0,
Blessings of Creation,BP09-P04EN,0,
Flower of Fairies,BP09-P05EN,0,
"Prim, Innocent Princess",BP09-P06EN,0,
"Prim, Innocent Princess",BP09-P07EN,0,
Monochrome Duel,BP09-P08EN,0,
Queen Hemera the White,BP09-P09EN,0,
Queen Magnus the Black,BP09-P10EN,0,
Mysterian Wyrmist,BP09-P11EN,0,
"Owen, Knight of Mysteria",BP09-P13EN,0,
Anne's Sorcery,BP09-P14EN,0,
Grea's Ember,BP09-P15EN,0,
"Bergent, Onion Patchmaster",BP09-P16EN,0,
"Bergent, Onion Patchmaster",BP09-P17EN,0,
"Vayle, Mysterian Summoner",BP09-P18EN,0,
"Vayle, Mysterian Summoner",BP09-P19EN,0,
Mysterian Knowledge,BP09-P20EN,0,
Onion Patch,BP09-P21EN,0,
"Mr. Bertrand, Magic Mentor",BP09-P22EN,0,
Lindworm,BP09-P23EN,0,
Poseidon,BP09-P25EN,0,
Pure-Voiced Dragoon,BP09-P26EN,0,
"Roy, Dragoncleaver",BP09-P27EN,0,
"Roy, Dragoncleaver",BP09-P28EN,0,
Katakura Kojuro,BP09-P29EN,0,
Katakura Kojuro,BP09-P30EN,0,
Dragoon Scyther,BP09-P31EN,0,
Gargouille,BP09-P32EN,0,
Waters of the Megalorca,BP09-P33EN,0,
Hypersonic Dragonewt,BP09-P34EN,0,
Oldblood King,BP09-P35EN,0,
Oldblood King,BP09-P36EN,0,
"Raven, Eventide Vampire",BP09-P37EN,0,
"Raven, Noontide Vampire",BP09-P38EN,0,
"Raven, Midnight Vampire",BP09-P39EN,0,
Ceryneian Hind,BP09-P40EN,0,
Jeweled Priestess,BP09-P42EN,0,
Jeweled Priestess,BP09-P43EN,0,
Whitefang Temple,BP09-P44EN,0,
Amaterasu,BP09-P45EN,0,
Tsukuyomi,BP09-P46EN,0,
Instant Poison,BP09-P47EN,0,
Eternal Potion,BP09-P48EN,0,
Mysterian Missile,BP09-P49EN,0,
Aftershock,BP09-P50EN,0,
Yggdrasil,BP09-SL01EN,0,
White Vanara,BP09-SL02EN,0,
White Vanara,BP09-SL03EN,0,
"Celia, Sky Commander",BP09-SL04EN,0,
Spartacus,BP09-SL06EN,0,
"Ceridwen, Eternity Hunter",BP09-SL07EN,0,
"Ceridwen, Eternity Hunter",BP09-SL08EN,0,
"Faust, Truthseeker",BP09-SL09EN,0,
"Anne, Mysterian Prodigy",BP09-SL10EN,0,
"Grea, Mysterian Dragoness",BP09-SL11EN,0,
"Grea, Mysterian Dragoness",BP09-SL12EN,0,
Jerva of Draconic Mail,BP09-SL13EN,0,
Jerva of Draconic Mail,BP09-SL14EN,0,
"Zirnitra, Dragon's Flame",BP09-SL15EN,0,
"Romelia, Lightning Striker",BP09-SL16EN,0,
"Romelia, Lightning Striker",BP09-SL17EN,0,
"Masamune, Raging Dragon",BP09-SL18EN,0,
"Vania, Nightshade Vampire",BP09-SL19EN,0,
"Arcus, Spirited Manager",BP09-SL21EN,0,
"Jeanne, Beacon of Salvation",BP09-SL22EN,0,
"Jeanne, Beacon of Salvation",BP09-SL23EN,0,
Tutankhamun,BP09-SL24EN,0,
Marduk,BP09-SL25EN,0,
Marduk,BP09-SL26EN,0,
Moon and Sun,BP09-SL27EN,0,
"Anne, Mysterian Prodigy",BP09-SP01EN,0,
"Romelia, Lightning Striker",BP09-SP02EN,0,
Instant Poison,BP09-T01EN,0,
Eternal Potion,BP09-T02EN,0,
Mysterian Missile,BP09-T03EN,0,
Aftershock,BP09-T04EN,0,
Fairy Wisp,BP09-T05EN,0,
Fairy,BP09-T06EN,0,
Knight,BP09-T07EN,0,
Steelclad Knight,BP09-T08EN,0,
Shield Guardian,BP09-T09EN,0,
Strikeform Golem,BP09-T10EN,0,
Guardform Golem,BP09-T11EN,0,
Magic Sediment,BP09-T12EN,0,
Dragon,BP09-T13EN,0,
Megalorca,BP09-T14EN,0,
Ghost,BP09-T15EN,0,
Forest Bat,BP09-T16EN,0,
Holy Falcon,BP09-T17EN,0,
Puppet,BP09-T18EN,0,
Yggdrasil,BP09-U01EN,0,
Spartacus,BP09-U02EN,0,
"Faust, Truthseeker",BP09-U03EN,0,
Jerva of Draconic Mail,BP09-U04EN,0,
"Arcus, Spirited Manager",BP09-U05EN,0,
"Jeanne, Beacon of Salvation",BP09-U06EN,0,
Marduk,BP09-U07EN,0,
"XII. Wolfraud, The Hanged Man",BP10-001EN,0,
"XII. Wolfraud, The Hanged Man",BP10-002EN,0,
"Lucille, Keeper of Relics",BP10-003EN,0,
"Spinaria & Lucille, Keepers",BP10-004EN,0,
Chipper Skipper,BP10-005EN,0,
Chipper Skipper,BP10-006EN,0,
Windflower Tiger,BP10-007EN,0,
Treacherous Reversal,BP10-008EN,0,
Salvia Panther,BP10-009EN,0,
Salvia Panther,BP10-010EN,0,
Optimistic Beastmaster,BP10-011EN,0,
Lumbering Carapace,BP10-012EN,0,
Reclusive Ponderer,BP10-013EN,0,
Reclusive Ponderer,BP10-014EN,0,
Crocus Rat,BP10-015EN,0,
Blossoming Archer,BP10-016EN,0,
Deepwood Wolf,BP10-017EN,0,
Fairy Assault,BP10-018EN,0,
"VII. Oluon, The Chariot",BP10-019EN,0,
"VII. Oluon, Runaway Chariot",BP10-020EN,0,
"Alyaska, War Hawker",BP10-021EN,0,
"Alyaska, War Hawker",BP10-022EN,0,
Prudent General,BP10-023EN,0,
Prudent General,BP10-024EN,0,
"Ilmisuna, Discord Hawker",BP10-025EN,0,
Aerial Slash,BP10-026EN,0,
Lightning Kicker,BP10-027EN,0,
Lightning Kicker,BP10-028EN,0,
Empress of Serenity,BP10-029EN,0,
Knight Neilan the Lazy,BP10-030EN,0,
Honorable Thief,BP10-031EN,0,
Honorable Thief,BP10-032EN,0,
Windslasher,BP10-033EN,0,
Selfless Noble,BP10-034EN,0,
"Ernesta, Weapons Hawker",BP10-035EN,0,
Pompous Summons,BP10-036EN,0,
"0. Lhynkal, The Fool",BP10-037EN,0,
"0. Lhynkal, The Fool",BP10-038EN,0,
"Runie, Resolute Diviner",BP10-039EN,0,
Imperator of Magic,BP10-040EN,0,
Imperator of Magic,BP10-041EN,0,
Checkmate,BP10-042EN,0,
Scourge of the Omniscient,BP10-043EN,0,
Juggling Moggy,BP10-044EN,0,
Juggling Moggy,BP10-045EN,0,
Gambit,BP10-046EN,0,
Rite of the Ignorant,BP10-047EN,0,
Piquant Potioneer,BP10-048EN,0,
Piquant Potioneer,BP10-049EN,0,
Creative Conjurer,BP10-050EN,0,
Arcane Auteur,BP10-051EN,0,
Skewer,BP10-052EN,0,
Magical Augmentation,BP10-053EN,0,
"XI. Erntz, Justice",BP10-054EN,0,
"XI. Erntz, Justice",BP10-055EN,0,
"Aiela, Devoted Knight",BP10-056EN,0,
"Lævateinn Dragon, Dual Form α",BP10-057EN,0,
"Lævateinn Dragon, Dual Form β",BP10-058EN,0,
"Lævateinn Dragon, Dual Form γ",BP10-059EN,0,
Slaughtering Dragonewt,BP10-060EN,0,
Slaughtering Dragonewt,BP10-061EN,0,
Eternal Whale,BP10-062EN,0,
Dual Rage,BP10-063EN,0,
Swiftblade Dragonewt,BP10-064EN,0,
Swiftblade Dragonewt,BP10-065EN,0,
Heliodragon,BP10-066EN,0,
Dragon Impact,BP10-067EN,0,
Springwell Dragon Keeper,BP10-068EN,0,
Springwell Dragon Keeper,BP10-069EN,0,
Gallant Dragonewt,BP10-070EN,0,
Dragonclad Lancer,BP10-071EN,0,
Tropical Grouper,BP10-072EN,0,
Dragon Spawning,BP10-073EN,0,
"VI. Milteo, The Lovers",BP10-074EN,0,
"VI. Milteo, The Lovers",BP10-075EN,0,
"XIV. Luzen, Temperance",BP10-076EN,0,
Sincere Masquerade Ghost,BP10-077EN,0,
Deathbringer,BP10-078EN,0,
Deathbringer,BP10-079EN,0,
"Demonium, Clash Devil",BP10-080EN,0,
Sincere Soul,BP10-081EN,0,
Ghost Maid,BP10-082EN,0,
Ghost Maid,BP10-083EN,0,
Insatiable Desire,BP10-084EN,0,
Unselfish Grace,BP10-085EN,0,
Moonrise Werewolf,BP10-086EN,0,
Moonrise Werewolf,BP10-087EN,0,
Spirit Curator,BP10-088EN,0,
Silverbolt Hunter,BP10-089EN,0,
Soul Box,BP10-090EN,0,
Colossal Grudge,BP10-091EN,0,
"VIII. Sofina, Strength",BP10-092EN,0,
"VIII. Sofina, Strength",BP10-093EN,0,
"X. Slaus, Wheel of Fortune",BP10-094EN,0,
Reverend Adjudicator,BP10-095EN,0,
Reverend Adjudicator,BP10-096EN,0,
Tanzanite Convictor,BP10-097EN,0,
Somnolent Strength,BP10-098EN,0,
Topaz Swordian,BP10-099EN,0,
Topaz Swordian,BP10-100EN,0,
Puresong Priest,BP10-101EN,0,
Wheel of Misfortune,BP10-102EN,0,
Priestess of Foresight,BP10-103EN,0,
Priestess of Foresight,BP10-104EN,0,
Azurite Maiden,BP10-105EN,0,
Prismaplume Bird,BP10-106EN,0,
Stalwart Featherfolk,BP10-107EN,0,
Holybright Altar,BP10-108EN,0,
"XXI. Zelgenea, The World",BP10-109EN,0,
"XXI. Zelgenea, O Great World",BP10-110EN,0,
Starbright Deity,BP10-111EN,0,
Starbright Deity,BP10-112EN,0,
"Fieran, Havensent Wind God",BP10-113EN,0,
Fallen Shot,BP10-114EN,0,
One-Winged Traitor,BP10-115EN,0,
One-Winged Traitor,BP10-116EN,0,
Mind Splitter,BP10-117EN,0,
Angelic Strike,BP10-118EN,0,
Pureshot Angel,BP10-119EN,0,
Pureshot Angel,BP10-120EN,0,
Corruption Guardian,BP10-121EN,0,
Winged Courier,BP10-122EN,0,
"Orchis, Heartful Puppet",BP10-LD01EN,0,
"Izudia, the Sixth Omen",BP10-LD02EN,0,
"Melna, Princess of Munmarath",BP10-LD03EN,0,
"Momo, A New Adventure",BP10-LD04EN,0,
"Octrice, the Eighth Omen",BP10-LD05EN,0,
"Raio, the Ninth Omen",BP10-LD06EN,0,
"Lishenna, the Second Omen",BP10-LD07EN,0,
"Fennie, Resplendent Phoenix",BP10-LD08EN,0,
"Galmieux, the Fifth Omen",BP10-LD09EN,0,
"Aenea, Gentle Amethyst",BP10-LD10EN,0,
"Valnareik, the Seventh Omen",BP10-LD11EN,0,
"Rulenye, the Third Omen",BP10-LD12EN,0,
"Marcotte, Heretical Celebrant",BP10-LD13EN,0,
"Marwynn, the Fourth Omen",BP10-LD14EN,0,
Treacherous Reversal,BP10-P01EN,0,
Salvia Panther,BP10-P02EN,0,
Salvia Panther,BP10-P03EN,0,
Blossoming Archer,BP10-P04EN,0,
"Ilmisuna, Discord Hawker",BP10-P05EN,0,
Lightning Kicker,BP10-P06EN,0,
Lightning Kicker,BP10-P07EN,0,
"Ernesta, Weapons Hawker",BP10-P08EN,0,
Scourge of the Omniscient,BP10-P09EN,0,
Juggling Moggy,BP10-P10EN,0,
Juggling Moggy,BP10-P11EN,0,
Rite of the Ignorant,BP10-P12EN,0,
Dual Rage,BP10-P13EN,0,
Swiftblade Dragonewt,BP10-P14EN,0,
Swiftblade Dragonewt,BP10-P15EN,0,
Dragon Spawning,BP10-P16EN,0,
Sincere Soul,BP10-P17EN,0,
Insatiable Desire,BP10-P18EN,0,
Unselfish Grace,BP10-P19EN,0,
Colossal Grudge,BP10-P20EN,0,
Somnolent Strength,BP10-P21EN,0,
Topaz Swordian,BP10-P22EN,0,
Topaz Swordian,BP10-P23EN,0,
Wheel of Misfortune,BP10-P24EN,0,
One-Winged Traitor,BP10-P25EN,0,
One-Winged Traitor,BP10-P26EN,0,
Mind Splitter,BP10-P27EN,0,
Corruption Guardian,BP10-P28EN,0,
